Object Name,Object Classification,Epoch (TDB),Orbit Axis (AU),Orbit Eccentricity,Orbit Inclination (deg),Perihelion Argument (deg),Node Longitude (deg),Mean Anomoly (deg),Perihelion Distance (AU),Aphelion Distance (AU),Orbital Period (yr),Minimum Orbit Intersection Distance (AU),Orbital Reference,Asteroid Magnitude,Period Start,Period End,Possible Impacts,Cumulative Impact Probability,Asteroid Velocity,Asteroid Diameter (km),Cumulative Palermo Scale,Maximum Palermo Scale,Maximum Torino Scale
2015 HV182,Apollo Asteroid (Hazard),57131,1.4986,0.4242,0.8603,260.0327,165.1881,100.339,0.8628,2.13,1.83,0.0057,2,21.7,2017,2113,509,7.1E-07,7.78,0.153,-4.14,-5.45,0
2008 SH148,Apollo Asteroid,54738,2.7657,0.6579,3.7438,201.4444,201.7084,353.7751,0.9463,4.59,4.6,0.0093,5,26.1,2017,2113,163,8.1E-07,9.47,0.02,-6.57,-7.46,0
2008 XK,Apollo Asteroid,54802,3.3288,0.7382,6.6029,43.5229,74.2406,354.5486,0.8715,5.79,6.07,0.0005,5,27.2,2017,2113,171,6.1E-07,9.03,0.012,-6.85,-7.5,0
2010 XC,Amor Asteroid,57800,1.2002,0.0633,38.9486,298.391,269.4087,141.893,1.1242,1.28,1.31,0.1441,23,29.1,2017,2113,332,3.3E-06,3.96,0.005,-7.25,-8.05,0
2010 MY112,Apollo Asteroid,55371,1.065,0.248,38.4888,329.1076,82.9817,270.4962,0.8009,1.33,1.1,0.1564,5,25.5,2017,2114,440,7E-06,2.1,0.029,-4.9,-5.95,0
2014 MO68,Apollo Asteroid,56839,2.5157,0.631,2.8447,28.0662,315.1773,347.4448,0.9283,4.1,3.99,0.0093,2,23.5,2017,2114,262,1.5E-06,8.36,0.067,-5.06,-6.04,0
2009 FZ4,Apollo Asteroid,54910,1.2957,0.4072,3.3953,276.1322,357.2734,311.7096,0.7681,1.82,1.47,0.0045,5,25.2,2017,2114,434,2.9E-06,10.11,0.031,-5.21,-6.03,0
2008 VS4,Amor Asteroid,54777,2.1677,0.5083,1.4496,205.3001,198.8998,0.9643,1.0658,3.27,3.19,0.0751,6,24.1,2017,2114,300,5.9E-07,8.31,0.051,-5.44,-6.6,0
2009 VZ39,Apollo Asteroid,55145,1.4828,0.3824,2.5215,40.8053,52.5166,339.7894,0.9157,2.05,1.81,0.0017,8,27.9,2017,2114,924,7.1E-06,6.33,0.009,-6.22,-7.61,0
2014 JT79,Apollo Asteroid,56781,1.5964,0.4821,1.4343,250.214,253.8014,30.9518,0.8268,2.37,2.02,0.0045,6,26.6,2017,2114,861,1E-06,12.02,0.016,-6.23,-7.31,0
2008 VL,Apollo Asteroid,54772,2.4187,0.6173,2.6795,143.3997,216.6232,7.9858,0.9257,3.91,3.76,0.0014,6,27.9,2017,2114,615,1.3E-05,9.68,0.009,-6.33,-7.46,0
2010 WW8,Apollo Asteroid,55530,1.4666,0.3105,1.7831,178.935,252.3742,358.224,1.0112,1.92,1.78,0.0253,7,26.9,2017,2114,92,5.7E-07,4.45,0.015,-7.02,-7.73,0
2008 EM68,Apollo Asteroid,54533,1.5361,0.5766,4.7659,266.6867,350.6915,332.443,0.6503,2.42,1.9,0.0002,5,27.8,2017,2115,1144,1.3E-05,14.54,0.01,-5.31,-5.65,0
2015 HW182,Amor Asteroid,57131,1.311,0.1668,3.626,289.9057,193.6562,65.8183,1.0924,1.53,1.5,0.1225,2,25.2,2017,2115,174,5.7E-08,10.76,0.031,-6.69,-7.17,0
2012 BP123,Apollo Asteroid,55958,1.1225,0.156,2.5973,272.8027,148.5573,53.7346,0.9474,1.3,1.19,0.0275,3,27.1,2017,2115,228,5.9E-07,4.6,0.013,-7.24,-8.11,0
2008 EK68,Apollo Asteroid,54530,1.4799,0.3948,3.9416,129.4383,344.236,21.9446,0.8957,2.06,1.8,0.002,15,29.8,2017,2115,315,5E-06,7.43,0.004,-7.6,-8.87,0
2005 ED224,Apollo Asteroid,53445,1.9263,0.6628,32.0078,277.3686,170.5321,19.5683,0.6496,3.2,2.67,0.0014,6,24,2018,2064,6,3E-06,25.24,0.054,-3.74,-4.07,0
2014 MV67,Apollo Asteroid (Hazard),56832,2.066,0.5155,3.5267,313.2378,194.7348,54.771,1.001,3.13,2.97,0.0384,5,19,2018,2074,6,1.8E-09,12.89,0.541,-4.79,-5.01,0
2016 JT38,Apollo Asteroid (Hazard),57512,1.4099,0.5866,1.541,188.4302,233.9689,121.1703,0.5828,2.24,1.67,0.0257,4,21,2018,2088,32,6E-09,13.43,0.212,-5.41,-5.89,0
2008 JD33,Amor Asteroid,54601,3.104,0.6685,6.0616,143.8686,65.8086,3.6575,1.0288,5.18,5.47,0.0519,10,27.9,2018,2106,133,1.1E-07,5.07,0.01,-7.87,-8.77,0
2005 NX55,Apollo Asteroid,53563,1.5927,0.6081,27.0325,276.5564,106.2344,329.8546,0.6241,2.56,2.01,0.0287,6,21.9,2018,2107,72,2.2E-08,25.14,0.142,-5.17,-5.85,0
2008 UY91,Apollo Asteroid,54767,2.2853,0.6741,32.9329,266.3666,213.8031,342.0774,0.7449,3.83,3.45,0.129,9,24.6,2018,2107,36,2.1E-08,16.2,0.041,-6.95,-7.74,0
2014 OY391,Apollo Asteroid,56864,2.168,0.6066,0.5886,249.922,346.9829,15.4778,0.853,3.48,3.19,0.0031,2,26,2018,2112,128,8.8E-07,14.81,0.022,-5.88,-6.43,0
2010 JA43,Amor Asteroid,55322,1.7049,0.3959,36.4618,238.4973,293.492,27.9055,1.0298,2.38,2.23,0.1865,5,21.6,2018,2113,96,8.4E-08,15.13,0.159,-4.95,-5.53,0
2015 HS182,Apollo Asteroid,57132,1.7626,0.5485,1.5407,358.0006,299.4647,330.2457,0.7958,2.73,2.34,0.0242,2,25.8,2018,2113,122,5.9E-08,7.56,0.024,-7.31,-8.3,0
2011 CF66,Aten Asteroid,55605,0.9971,0.271,0.6153,265.5868,351.1904,277.9712,0.7269,1.27,1,0.0023,4,27.8,2018,2114,808,1.5E-05,12.52,0.01,-6.04,-7.18,0
2016 AZ193,Aten Asteroid,57390,0.9264,0.2628,0.3059,192.0434,137.7016,104.7587,0.6829,1.17,0.89,0.004,4,26.6,2018,2114,398,2.3E-06,6.73,0.016,-6.27,-7.16,0
2016 JO38,Apollo Asteroid,57512,2.1184,0.6242,1.3322,331.9346,343.0189,335.7933,0.796,3.44,3.08,0.013,5,24.8,2018,2115,466,9.6E-07,7.41,0.037,-5.61,-6.27,0
2014 HD198,Apollo Asteroid,56773,2.1147,0.6431,0.9816,69.1178,220.406,344.3192,0.7546,3.47,3.08,0,2,29.6,2018,2115,78,8.1E-06,17.54,0.004,-6.46,-6.58,0
2006 QV89,Apollo Asteroid,57800,1.1919,0.2244,1.0711,236.6936,166.0598,332.2487,0.9244,1.46,1.3,0.0002,13,25.3,2019,2041,12,7.6E-05,5.16,0.03,-3.35,-3.35,0
2008 VB4,Apollo Asteroid,54776,2.3542,0.6178,0.057,171.2786,189.3476,8.6897,0.8997,3.81,3.61,0.0005,5,28.3,2019,2103,22,1.5E-07,11.84,0.007,-7.72,-8.03,0
2008 UV99,Apollo Asteroid (Hazard),54770,1.1548,0.1519,17.1071,176.8976,355.0877,234.2899,0.9794,1.33,1.24,0.0162,13,19.6,2019,2111,32,1.6E-07,15.6,0.399,-3.44,-3.55,0
2010 DJ77,Aten Asteroid (Hazard),55249,0.9553,0.2128,24.9318,103.7457,286.7967,111.9821,0.752,1.16,0.93,0.0498,12,21.1,2019,2113,53,6.2E-08,17.04,0.2,-4.45,-5.24,0
2014 ML67,Apollo Asteroid,56838,2.8267,0.7817,1.8246,57.1244,306.7321,349.7235,0.6172,5.04,4.75,0.0147,2,24.2,2019,2113,33,7E-07,21.18,0.05,-4.98,-5.21,0
2004 ME6,Apollo Asteroid,53182,2.3661,0.575,9.4468,210.3503,112.2378,346.1315,1.0056,3.73,3.64,0.0292,6,22.6,2019,2113,51,1.6E-07,11.77,0.1,-5.41,-6.06,0
2007 FT3,Apollo Asteroid (Hazard),54180,1.1279,0.3071,26.8216,277.3695,9.875,297.7038,0.7815,1.47,1.2,0.0161,6,20,2019,2114,138,1.1E-06,17.05,0.34,-3.08,-3.67,0
2014 MA68,Apollo Asteroid,56836,1.5269,0.3491,1.4427,180.0899,58.0062,18.598,0.9938,2.06,1.89,0.0079,2,25.9,2019,2115,454,2E-05,4.95,0.022,-5.16,-6.03,0
2016 RP41,Amor Asteroid,57644,1.9351,0.3326,4.3051,42.5713,318.93,356.2331,1.2914,2.58,2.69,0.2929,1,22.5,2019,2115,62,4.1E-08,8.46,0.11,-5.65,-6.15,0
2012 BL14,Apollo Asteroid,55947,1.7239,0.6536,6.8337,269.6637,119.627,21.1422,0.5971,2.85,2.26,0.0013,3,28.2,2019,2115,520,1.7E-05,19.82,0.008,-5.71,-6.14,0
2014 HN198,Apollo Asteroid,56776,1.7772,0.4915,2.5482,216.1542,291.2124,25.1816,0.9038,2.65,2.37,0.0039,4,25.7,2019,2115,170,1.2E-07,9.65,0.024,-7.01,-7.77,0
2016 NL56,Apollo Asteroid (Hazard),57582,1.3085,0.5767,4.3327,77.1274,18.5962,240.2452,0.5539,2.06,1.5,0,3,21.4,2019,2116,225,1.3E-06,13.07,0.188,-3.04,-3.37,0
2001 YN2,Apollo Asteroid,52267,2.5088,0.7155,1.6291,289.8773,82.6089,12.4519,0.7138,4.3,3.97,0,12,24.9,2020,2020,1,1.4E-09,18.49,0.035,-7.65,-7.65,0
2001 UO,Apollo Asteroid,52199,2.5491,0.6738,10.084,300.4971,24.0913,10.2587,0.8315,4.27,4.07,0.015,6,24.1,2020,2020,1,6.2E-10,16.28,0.051,-7.65,-7.65,0
2008 VM,Apollo Asteroid,54773,1.3344,0.3928,4.089,69.1696,42.0113,327.2631,0.8103,1.86,1.54,0.0003,5,30.2,2020,2031,3,3.6E-05,10.26,0.003,-6.49,-6.49,0
2001 CA21,Apollo Asteroid (Hazard),51944,1.6699,0.7769,4.9668,218.9285,46.4355,336.9076,0.3725,2.97,2.16,0.0371,11,18.5,2020,2077,6,6.5E-09,30.68,0.679,-3.98,-4.25,0
2016 JP38,Amor Asteroid,57512,1.8421,0.3237,1.9063,0.4806,241.1065,350.877,1.2458,2.44,2.5,0.233,4,24.4,2020,2087,28,1.8E-08,10.02,0.044,-6.74,-7.08,0
2008 YD3,Amor Asteroid,54822,2.9308,0.6491,0.1851,262.2041,178.9546,1.8325,1.0284,4.83,5.02,0.0441,7,26,2020,2104,45,1.9E-07,8.46,0.021,-7.07,-7.55,0
2010 UJ,Aten Asteroid,55487,0.9442,0.0949,0.3704,72.9299,134.2181,178.1423,0.8546,1.03,0.92,0.0034,6,26.2,2020,2108,103,6.1E-06,2.84,0.019,-5.74,-6.16,0
2010 AU118,Amor Asteroid,55211,1.6214,0.3059,43.7254,339.6013,35.2163,109.2828,1.1255,2.12,2.06,0.1467,7,16.2,2020,2112,38,1.8E-08,25.22,1.9,-2.73,-3.16,0
2009 TB,Amor Asteroid,57800,1.3186,0.2192,12.2236,249.5799,22.18,40.8503,1.0296,1.61,1.51,0.1189,35,29.2,2020,2112,35,7.1E-06,10.84,0.005,-6.35,-6.91,0
2016 WN55,Aten Asteroid,57711,0.8348,0.3697,12.3174,242.7844,340.6746,239.2922,0.5262,1.14,0.76,0.0696,1,25.6,2020,2113,48,4.8E-06,0.34,0.028,-4.06,-4.33,0
2012 BK14,Aten Asteroid,55947,0.9783,0.1838,1.4649,253.3379,118.7476,87.6367,0.7985,1.16,0.97,0.0019,3,28,2020,2113,663,4.9E-05,3.67,0.009,-5.81,-6.88,0
2012 TC4,Apollo Asteroid,57800,1.4056,0.3357,0.8563,222.5595,198.2537,198.5204,0.9337,1.88,1.67,0.0003,22,26.7,2020,2114,79,8.5E-05,6.51,0.015,-4.74,-5.81,0
2007 YM,Apollo Asteroid,54451,2.5827,0.617,0.991,11.2606,59.6622,2.6214,0.9893,4.18,4.15,0.0043,5,26.3,2020,2114,239,4.4E-06,7.69,0.019,-5.91,-6.91,0
2015 HQ182,Apollo Asteroid,57131,1.1079,0.2262,3.6061,160.5954,240.5295,157.4327,0.8573,1.36,1.17,0.0483,2,24.9,2020,2114,216,1.6E-07,6.9,0.035,-6.65,-7.29,0
2016 PO66,Apollo Asteroid (Hazard),57602,1.2769,0.5115,14.4595,277.7906,168.5847,294.444,0.6238,1.93,1.44,0.0026,2,21.9,2020,2115,377,1.2E-06,25.47,0.138,-4.14,-5.32,0
2010 XN69,Apollo Asteroid,55546,1.9118,0.5,2.0042,21.6484,99.2058,348.4512,0.956,2.87,2.64,0.0011,4,26.3,2020,2115,147,7.3E-05,6.63,0.019,-4.89,-6.01,0
2015 YV20,Amor Asteroid,57385,1.1315,0.0634,12.1963,165.758,67.9521,226.3838,1.0598,1.2,1.2,0.0492,5,22.4,2020,2115,130,2.6E-07,5.94,0.113,-5.21,-5.81,0
2010 LJ68,Apollo Asteroid,55364,1.7543,0.4488,17.0126,36.7856,164.3275,20.8437,0.967,2.54,2.32,0.031,6,22.9,2020,2115,39,3.5E-07,9.69,0.089,-5.37,-6.07,0
2015 HO182,Amor Asteroid,57131,2.5585,0.5982,1.6062,213.9939,309.248,9.7817,1.028,4.09,4.09,0.0395,2,27,2020,2115,49,4.8E-08,9.63,0.013,-8.06,-8.71,0
2017 AA21,Apollo Asteroid,57757,1.9108,0.4738,2.2944,172.8117,331.9465,346.2729,1.0055,2.82,2.64,0.0183,1,26,2020,2116,210,4.3E-06,7.71,0.021,-5.54,-5.85,0
2016 VA18,Apollo Asteroid,57698,1.1345,0.3077,4.5313,277.9361,39.2314,52.336,0.7854,1.48,1.21,0.0018,3,28.3,2020,2116,521,3.8E-06,7.47,0.007,-6.78,-7.38,0
2016 QY84,Amor Asteroid,57629,1.9218,0.4644,10.3931,147.4953,160.8886,9.1831,1.0293,2.81,2.66,0.0544,3,31.6,2020,2116,703,3.6E-05,3.15,0.002,-7.41,-8.32,0
2017 AE21,Apollo Asteroid,57757,1.1063,0.1823,3.1041,125.891,247.6762,74.0663,0.9046,1.31,1.16,0.0069,3,25,2020,2117,90,3.2E-06,4.97,0.034,-4.87,-5.42,0
2017 AY20,Amor Asteroid,57757,2.1946,0.4635,20.7635,224.1102,335.1074,313.017,1.1773,3.21,3.25,0.2535,2,20.1,2021,2021,1,1.5E-10,19.78,0.33,-6.22,-6.22,0
2008 UM1,Apollo Asteroid,54761,2.3355,0.6824,5.2834,111.8739,208.9416,11.5568,0.7418,3.93,3.57,0,11,31.6,2021,2079,5,5E-07,19.03,0.002,-8.39,-8.41,0
2010 CA55,Apollo Asteroid,55234,4.6448,0.8562,58.4706,307.4396,106.4847,5.2287,0.6679,8.62,10.01,0.1499,12,22,2021,2087,6,6.3E-08,24.03,0.14,-4.64,-4.73,0
2010 XQ,Apollo Asteroid,55532,2.7008,0.6265,7.1786,12.2394,73.4522,357.0107,1.0088,4.39,4.44,0.0291,7,25.2,2021,2112,60,1.9E-07,9.82,0.031,-6.71,-7.31,0
2015 HM182,Apollo Asteroid,57131,1.1923,0.209,2.7352,277.3972,220.8014,48.6924,0.9431,1.44,1.3,0.0266,2,29,2021,2112,81,1E-07,7.25,0.005,-8.88,-9.47,0
2006 CD,Amor Asteroid,53768,1.8707,0.4332,9.0142,298.0077,105.3214,29.1148,1.0603,2.68,2.56,0.1424,5,21,2021,2113,56,1.9E-08,11.19,0.214,-5.4,-6.34,0
2016 PR66,Amor Asteroid,57607,2.3341,0.5216,4.8412,47.4239,209.8923,17.0128,1.1166,3.55,3.57,0.1196,2,23.3,2021,2113,26,2E-08,9.88,0.073,-6.45,-6.67,0
2011 CW46,Apollo Asteroid,55604,1.0477,0.1566,30.2492,76.8282,322.174,84.9783,0.8837,1.21,1.07,0.0248,4,24.7,2021,2113,14,9E-09,16.62,0.039,-7.51,-7.9,0
2015 MC131,Apollo Asteroid,57196,1.5291,0.4059,1.0781,256.778,87.2403,328.2059,0.9085,2.15,1.89,0.0084,2,25.1,2021,2114,30,5.9E-07,4.53,0.033,-6.27,-6.5,0
2014 JV79,Apollo Asteroid,56783,1.0799,0.1357,16.3518,113.9422,233.0743,253.8759,0.9333,1.23,1.12,0.0138,3,25.2,2021,2114,164,2.9E-07,11.17,0.031,-6.29,-7.12,0
2010 XP,Amor Asteroid,55532,2.1698,0.5157,1.089,349.4488,83.1818,359.016,1.0508,3.29,3.2,0.0652,10,26.7,2021,2114,63,9E-08,8.96,0.016,-7.63,-8.03,0
2010 HP20,Apollo Asteroid,55306,1.9962,0.5354,7.7157,320.8928,209.0896,10.8223,0.9275,3.06,2.82,0.0009,5,28.2,2021,2115,564,4.1E-05,7.66,0.008,-5.98,-7.46,0
2016 JG38,Apollo Asteroid,57510,1.6912,0.5002,3.5118,287.5473,29.2853,321.0197,0.8453,2.54,2.2,0.0155,2,24.2,2021,2115,119,6.2E-08,17.18,0.05,-6.42,-7.39,0
2009 JF1,Apollo Asteroid,57800,1.8924,0.7379,6.1534,281.346,45.5981,338.8397,0.496,3.29,2.6,0,5,27.1,2022,2022,1,0.00024,23.92,0.013,-3.43,-3.43,0
2010 CA,Apollo Asteroid,57800,1.3186,0.4599,9.9016,93.1095,134.555,190.3749,0.7121,1.93,1.51,0.0003,15,24.4,2022,2022,1,2.5E-09,14.7,0.044,-7.32,-7.32,0
2014 NJ65,Apollo Asteroid (Hazard),56846,1.3476,0.254,9.6694,179.2875,281.482,210.0352,1.0053,1.69,1.56,0.023,5,19.3,2022,2041,4,7.3E-10,8.57,0.461,-5.82,-5.95,0
2007 SN6,Apollo Asteroid,54366,2.3444,0.6886,4.7484,286.092,357.4176,13.5593,0.7301,3.96,3.59,0.0045,8,25,2022,2059,2,6E-08,18.34,0.033,-6.88,-7,0
2015 BS516,Apollo Asteroid,57048,1.8936,0.4733,17.6406,83.5639,355.9058,35.2081,0.9973,2.79,2.61,0.2206,2,19.9,2022,2103,30,2E-08,13.04,0.36,-4.81,-5.22,0
2009 FG,Apollo Asteroid (Hazard),57800,2.9088,0.7198,54.5001,120.3835,187.584,181.6154,0.815,5,4.96,0.0236,51,25.5,2022,2103,31,8E-06,9.12,0.027,-5.47,-5.91,0
2011 KF36,Apollo Asteroid,55713,2.1218,0.6496,25.6739,80.0966,213.7888,343.3036,0.7436,3.5,3.09,0.0575,4,20.4,2022,2106,8,1.2E-09,22.32,0.28,-5.9,-6.46,0
2003 UM3,Apollo Asteroid,52930,1.3671,0.4375,1.5031,284.6931,17.6095,35.8916,0.7689,1.97,1.6,0.0002,5,28.1,2022,2112,82,1.6E-06,13.82,0.008,-7.16,-7.94,0
2007 KO4,Apollo Asteroid,54244,1.1032,0.1617,25.1514,299.3194,61.1666,253.9273,0.9248,1.28,1.16,0.0076,5,23.3,2022,2114,248,4.2E-06,13.71,0.075,-4.43,-5.14,0
2010 VO139,Apollo Asteroid,55514,2.07,0.7034,7.7205,91.1612,230.8249,16.4025,0.614,3.53,2.98,0.0078,6,26.6,2022,2114,192,1.6E-06,20.58,0.016,-6.22,-7.37,0
2009 JE1,Apollo Asteroid,54955,1.3678,0.2944,8.0327,223.1874,46.1518,335.0189,0.9651,1.77,1.6,0.0123,5,27.2,2022,2114,10,7.3E-08,6.03,0.012,-8.23,-8.62,0
2006 GU2,Apollo Asteroid,57800,1.0797,0.2556,3.3733,266.2525,197.071,309.0983,0.8037,1.36,1.12,0.0012,5,27.8,2022,2115,61,1.7E-05,7.3,0.009,-6.44,-7.09,0
2014 HJ198,Apollo Asteroid,56774,2.0111,0.719,5.9745,262.8997,214.8777,18.5038,0.5651,3.46,2.85,0.0081,2,26.8,2022,2115,114,6.4E-07,21.89,0.015,-6.8,-7.7,0
2008 TE,Apollo Asteroid,57800,1.5186,0.4527,0.305,297.4798,1.1031,198.592,0.8311,2.21,1.87,0,8,27.7,2023,2047,3,5.1E-05,11.84,0.01,-4.79,-4.79,0
2011 DX4,Apollo Asteroid,55617,1.902,0.648,1.0421,106.2779,324.0535,19.013,0.6696,3.13,2.62,0.0019,4,26.5,2023,2108,22,5.1E-08,17.65,0.017,-7.75,-8.15,0
2010 DG77,Apollo Asteroid (Hazard),55246,1.7981,0.4636,13.328,194.878,291.4292,9.4428,0.9645,2.63,2.41,0.0084,13,24.5,2023,2111,144,1.5E-06,2.39,0.044,-5.54,-6.23,0
2007 VD8,Apollo Asteroid,54409,2.2937,0.5934,3.1486,318.5398,43.5992,8.7682,0.9327,3.65,3.47,0.0075,5,27.7,2023,2112,53,3.8E-07,12.62,0.01,-7.61,-8.39,0
2016 LP10,Apollo Asteroid,57548,2.0829,0.6222,0.6694,245.3236,79.3022,345.4287,0.787,3.38,3.01,0,2,29.5,2023,2115,32,0.00011,15.59,0.004,-5.55,-5.66,0
1991 BA,Apollo Asteroid,48274,2.1877,0.673,1.9376,70.6868,118.8801,346.8238,0.7153,3.66,3.24,0.0003,11,28.7,2023,2115,46,1.1E-05,17.23,0.006,-6.03,-6.14,0
2011 BH40,Apollo Asteroid,55591,4.1975,0.8794,1.8046,137.146,91.6662,354.4442,0.5064,7.89,8.6,0.0219,4,25.1,2023,2115,63,1.3E-07,5.31,0.032,-6.8,-7.47,0
2012 CS46,Apollo Asteroid,55972,1.2876,0.2961,0.4408,343.9956,223.6712,324.4746,0.9064,1.67,1.46,0.0053,3,27.8,2023,2115,81,1.2E-07,6.26,0.009,-8.18,-8.86,0
2005 WN3,Apollo Asteroid,57800,2.6877,0.7458,0.2833,255.4222,240.5714,186.5774,0.6833,4.69,4.41,0.0001,5,29.9,2024,2024,1,1.1E-09,18.17,0.004,-10.34,-10.3,0
2005 BS1,Apollo Asteroid,53388,1.9687,0.5675,2.6478,308.3324,113.693,14.4794,0.8515,3.09,2.76,0.0005,7,27.3,2024,2041,3,5.1E-07,12.36,0.012,-6.85,-7.05,0
2016 NP56,Apollo Asteroid,57578,1.0262,0.0428,4.3096,285.5204,118.1939,246.9323,0.9823,1.07,1.04,0.018,3,26.2,2024,2068,8,5.1E-06,2.14,0.019,-6.05,-6.11,0
2015 FA345,Apollo Asteroid,57104,2.323,0.574,4.6824,157.371,357.9856,7.4366,0.9895,3.66,3.54,0.0137,2,24.1,2024,2102,23,1.5E-07,9.5,0.052,-6.19,-6.44,0
2017 AB21,Apollo Asteroid,57757,8.0812,0.9286,14.2347,296.2223,50.4395,5.1474,0.5772,15.59,22.97,0.0724,3,20.7,2024,2110,25,5.6E-09,10.69,0.243,-5.8,-6.42,0
2015 KA158,Apollo Asteroid,57165,2.0631,0.562,2.5272,281.5389,251.0945,18.7829,0.9036,3.22,2.96,0.0248,2,26.6,2024,2113,41,3.3E-08,14,0.016,-7.89,-8.55,0
2010 KJ37,Amor Asteroid,55339,1.1025,0.0579,11.2823,99.278,236.4349,270.9786,1.0387,1.17,1.16,0.0919,5,23.9,2024,2114,47,1.9E-07,6.61,0.055,-5.89,-6.07,0
2016 JL38,Apollo Asteroid,57512,1.0423,0.2923,4.957,236.0443,219.9844,95.3942,0.7377,1.35,1.06,0.035,2,26.2,2024,2115,110,5.7E-07,2.88,0.02,-6.71,-7.42,0
2012 CR,Amor Asteroid,55959,1.8146,0.3939,2.2082,33.498,156.6751,341.6551,1.0998,2.53,2.44,0.1036,3,21,2025,2025,1,1.5E-10,14.21,0.21,-7.12,-7.12,0
2009 VA,Apollo Asteroid,55141,1.428,0.3573,7.5411,223.991,224.542,338.9461,0.9177,1.94,1.71,0.0001,5,28.6,2025,2048,16,2.2E-05,8.24,0.006,-5.81,-5.84,0
2012 BA77,Apollo Asteroid,55952,2.3539,0.6309,1.1829,228.2509,196.6648,12.4373,0.8688,3.84,3.61,0.0001,5,25.8,2025,2088,23,3.6E-05,12.72,0.023,-4.61,-5.13,0
2011 FA23,Apollo Asteroid,55651,2.0529,0.5915,2.164,55.6141,191.2473,346.5868,0.8386,3.27,2.94,0.0001,4,28.9,2025,2102,6,4.1E-06,14.34,0.006,-7.21,-7.33,0
2014 HM199,Amor Asteroid,56780,2.0375,0.4079,4.5788,174.2404,14.9569,14.6247,1.2064,2.87,2.91,0.2071,2,23.7,2025,2104,2,4.9E-10,10.54,0.063,-8.15,-8.18,0
2010 LF64,Amor Asteroid,55351,1.3601,0.1664,18.5384,236.653,19.0046,343.8834,1.1338,1.59,1.59,0.1921,5,23,2025,2105,6,6.7E-09,5.12,0.086,-7.08,-7.23,0
2011 AD3,Apollo Asteroid,55565,2.8945,0.6892,1.5169,118.0864,298.2324,6.8193,0.8995,4.89,4.92,0.0106,4,26.5,2025,2115,65,1.8E-07,12.5,0.017,-7.57,-8.63,0
2013 TP4,Apollo Asteroid,56572,1.885,0.7608,6.3245,73.4069,188.8179,19.9506,0.451,3.32,2.59,0.0016,6,27.5,2026,2026,1,6.2E-05,25.3,0.011,-4.36,-4.36,0
2014 JU79,Apollo Asteroid,56783,1.3318,0.2559,7.2205,90.7864,9.4742,104.3025,0.991,1.67,1.54,0.1104,4,23,2026,2101,12,7.4E-09,6.25,0.083,-7.12,-7.69,0
